EMPID,Status,Function,Division,Union Status,Employment Category,Rehire_Date,Total Service Date,Birth Date,Age,Generation,Pay Scale Group,Gender,Ethnic Origin,Action Reason,Last Performance Rating,Last Potential Rating,Rehired,Employee Pay Frequency,ExemptTF,Employee Pay Basis,Manager_ID,Months Since Last Hire,Tenure_Months,Action Change Date,Action Type
4665,Active,Operations,Product,Non-Union,Regular Employee FT,,27-Dec-88,9-Mar-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S178,322,322,,
51322,Active,Operations,Product,Non-Union,Regular Employee FT,,3-Jul-13,27-Feb-62,53,Boomer,Group C,Male,H,,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Hourly,S1027,28,28,,
21296,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,10-Dec-08,10-Dec-08,24-Feb-62,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,T,Bi-Weekly,F,Hourly,S1900,83,83,,
18806,Terminated,Operations,Product,Union,Regular Employee FT,,31-Jan-02,23-Feb-62,52,Boomer,Not Assigned,Male,B,Resigned - Personal Reasons,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S1371,149,149,16-Jul-14,Voluntary Separation
37856,Active,Sales,Sales,Non-Union,Regular Employee FT,,9-Mar-10,21-Feb-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,T,Salary,S4754,68,68,,
2454,Active,Operations,Product,Non-Union,Regular Employee FT,,7-Jun-83,19-Feb-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S100,389,389,,
6273,Active,Sales,Sales,Non-Union,Regular Employee FT,6-Oct-09,6-Oct-09,18-Feb-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Emerging Talent,T,Monthly,T,Salary,S4884,73,73,,
11923,Active,Operations,Product,Union,Regular Employee FT,,18-Mar-98,14-Feb-62,53,Boomer,Group K,Male,W,,No Rating,No Rating,F,Weekly,F,Daily,S781,211,211,,
16275,Active,Operations,Product,Non-Union,Regular Employee FT,,28-Sep-00,3-Feb-62,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1090,181,181,,
6300,Active,Operations,Product,Non-Union,Regular Employee FT,,25-Dec-91,31-Jan-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Strong Contributor,F,Monthly,T,Salary,S764,286,286,,
13735,Active,Manufacturing,Product,Union,Regular Employee FT,,21-Apr-99,26-Jan-62,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1720,198,198,,
1820,Active,Operations,Product,Non-Union,Regular Employee FT,,28-Jul-81,24-Jan-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Mastery,F,Monthly,T,Salary,S5029,411,411,,
40752,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,10-May-11,16-Jan-62,53,Boomer,Group C,Female,W,,Meets & Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S3011,54,54,,
15302,Active,Sales,Sales,Non-Union,Regular Employee FT,,7-Mar-00,10-Jan-62,53,Boomer,Group C,Male,W,,Meets & Exceeds,Not assigned,F,Monthly,T,Salary,S4267,188,188,,
19482,Active,Operations,Product,Union,Regular Employee FT,1-May-03,22-Jun-02,10-Jan-62,53,Boomer,Not Assigned,Male,B,,No Rating,No Rating,T,Weekly,F,Hourly,S3444,150,160,,
17679,Active,Operations,Product,Non-Union,Regular Employee FT,,19-Jul-01,3-Jan-62,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S410,171,171,,
24844,Active,Sales,Sales,Non-Union,Regular Employee FT,,17-Jun-05,31-Dec-61,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2542,124,124,,
29977,Active,Sales,Sales,Non-Union,Regular Employee FT,,11-Jul-07,22-Dec-61,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2433,100,100,,
37621,Active,Operations,Product,Non-Union,Regular Employee FT,,20-Jan-10,19-Dec-61,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1348,69,69,,
54311,Active,Operations,Product,Non-Union,Regular Employee PT,,4-Dec-13,17-Dec-61,53,Boomer,Group C,Male,B,,Too New,Not assigned,F,Weekly,F,Hourly,S826,23,23,,
61254,Active,Sales,Sales,Non-Union,Regular Employee PT,,27-Aug-14,16-Dec-61,53,Boomer,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2232,14,14,,
2197,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,25-Aug-82,7-Dec-61,53,Boomer,Group C,Female,H,,Developing/Meets Some,Strong Contributor,F,Monthly,T,Salary,S5081,398,398,,
14566,Active,Sales,Sales,Non-Union,Regular Employee FT,,28-Aug-99,2-Dec-61,53,Boomer,Group C,Male,B,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S5247,194,194,,
